UserName,Password,EmployeeID,Role,Clock_In_Time,Clock_Out_Time
manager1,managerpass,MGR001,Manager,,
manager2,managerpass,MGR002,Manager,,
fred,waiterpass,EMP101,Waiter,,
josh,waiterpass,EMP102,Waiter,,
waiter3,waiterpass,EMP103,Waiter,,
waiter4,waiterpass,EMP104,Waiter,,
waiter5,waiterpass,EMP105,Waiter,,
waiter6,waiterpass,EMP106,Waiter,,
waiter7,waiterpass,EMP107,Waiter,,
busboy1,busboypass,EMP201,Busboy,,
busboy2,busboypass,EMP202,Busboy,,
busboy3,busboypass,EMP203,Busboy,,
chef1,chefpass,CHEF001,Chef,,
chef2,chefpass,CHEF002,Chef,,
chef3,chefpass,CHEF003,Chef,,
chef4,chefpass,CHEF004,Chef,,
chef5,chefpass,CHEF005,Chef,,
chef6,chefpass,CHEF006,Chef,,
alice,waiterpass,EMP108,Waiter,,
